policy_theme,label_id,keyword,normalized_keyword,keyword_weight,keyword_type
Economic and Pricing Policy,L4,kemampuan ekonomi masyarakat,kemampuan ekonomi masyarakat,1.35,normal
Economic and Pricing Policy,L4,pendanaan,pendanaan,1.0,normal
Economic and Pricing Policy,L4,pembiayaan,pembiayaan,1.0,normal
Economic and Pricing Policy,L4,investasi,investasi,1.0,normal
Economic and Pricing Policy,L4,penanaman modal,penanaman modal,1.0,normal
Economic and Pricing Policy,L4,modal,modal,1.0,normal
Economic and Pricing Policy,L4,perbankan,perbankan,1.0,normal
Economic and Pricing Policy,L4,lembaga keuangan,lembaga keuangan,1.0,normal
Economic and Pricing Policy,L4,alokasi dana,alokasi dana,1.0,normal
Economic and Pricing Policy,L4,alokasi anggaran,alokasi anggaran,1.0,normal
Economic and Pricing Policy,L4,anggaran,anggaran,0.35,weak_or_ambiguous
Economic and Pricing Policy,L4,apbn,apbn,0.35,weak_or_ambiguous
Economic and Pricing Policy,L4,apbd,apbd,0.35,weak_or_ambiguous
Economic and Pricing Policy,L4,badan usaha,badan usaha,0.3,weak_or_ambiguous
Economic and Pricing Policy,L4,bumn,bumn,1.0,normal
Economic and Pricing Policy,L4,bumd,bumd,1.0,normal
Economic and Pricing Policy,L4,koperasi,koperasi,1.0,normal
Economic and Pricing Policy,L4,swasta,swasta,1.0,normal
Economic and Pricing Policy,L4,pasar tenaga listrik,pasar tenaga listrik,1.35,normal
Economic and Pricing Policy,L4,jual beli tenaga listrik,jual beli tenaga listrik,1.35,normal
Economic and Pricing Policy,L4,perjanjian jual beli tenaga listrik,perjanjian jual beli tenaga listrik,2.55,strong
Economic and Pricing Policy,L4,pjbl,pjbl,1.0,normal
Economic and Pricing Policy,L4,premi pengurasan,premi pengurasan,1.0,normal
Economic and Pricing Policy,L4,biaya produksi,biaya produksi,1.0,normal
Economic and Pricing Policy,L4,biaya pokok penyediaan,biaya pokok penyediaan,1.35,normal
Economic and Pricing Policy,L4,bpp,bpp,1.0,normal
Economic and Pricing Policy,L4,biaya energi,biaya energi,1.0,normal
Economic and Pricing Policy,L4,biaya penyediaan energi,biaya penyediaan energi,1.35,normal
Economic and Pricing Policy,L4,skema pembiayaan,skema pembiayaan,1.0,normal
Economic and Pricing Policy,L4,risiko investasi,risiko investasi,1.0,normal
Economic and Pricing Policy,L4,kelayakan usaha,kelayakan usaha,1.0,normal
Economic and Pricing Policy,L4,kelayakan ekonomi,kelayakan ekonomi,1.0,normal
Economic and Pricing Policy,L4,economic feasibility,economic feasibility,1.0,normal
Economic and Pricing Policy,L4,commercial feasibility,commercial feasibility,1.0,normal
Economic and Pricing Policy,L4,mekanisme pasar,mekanisme pasar,1.0,normal
Economic and Pricing Policy,L4,harga pasar,harga pasar,1.0,normal
Economic and Pricing Policy,L4,struktur tarif,struktur tarif,1.0,normal
Economic and Pricing Policy,L4,kompensasi,kompensasi,1.0,normal
Economic and Pricing Policy,L4,dana kompensasi,dana kompensasi,1.0,normal
Economic and Pricing Policy,L4,pengadaan energi,pengadaan energi,1.0,normal
Economic and Pricing Policy,L4,biaya pengadaan,biaya pengadaan,1.0,normal
Economic and Pricing Policy,L4,pembiayaan infrastruktur energi,pembiayaan infrastruktur energi,1.35,normal
Economic and Pricing Policy,L4,dukungan pendanaan,dukungan pendanaan,1.0,normal
Economic and Pricing Policy,L4,dukungan fiskal,dukungan fiskal,1.0,normal
Economic and Pricing Policy,L4,pendapatan negara,pendapatan negara,1.0,normal
Economic and Pricing Policy,L4,kontribusi ekonomi,kontribusi ekonomi,1.0,normal
Economic and Pricing Policy,L4,harga patokan tertinggi,harga patokan tertinggi,2.35,strong
Economic and Pricing Policy,L4,harga pembelian tenaga listrik,harga pembelian tenaga listrik,2.35,strong
Economic and Pricing Policy,L4,harga pembelian tenaga uap,harga pembelian tenaga uap,1.35,normal
Economic and Pricing Policy,L4,harga kesepakatan,harga kesepakatan,1.0,normal
Economic and Pricing Policy,L4,persetujuan harga,persetujuan harga,2.0,strong
Economic and Pricing Policy,L4,evaluasi harga,evaluasi harga,1.0,normal
Economic and Pricing Policy,L4,negosiasi harga,negosiasi harga,1.0,normal
Economic and Pricing Policy,L4,faktor lokasi,faktor lokasi,1.0,normal
Economic and Pricing Policy,L4,angka faktor lokasi,angka faktor lokasi,1.35,normal
Economic and Pricing Policy,L4,faktor f,faktor f,1.0,normal
Economic and Pricing Policy,L4,cent usd/kwh,cent usd kwh,1.35,normal
Economic and Pricing Policy,L4,usd/kwh,usd kwh,1.0,normal
Economic and Pricing Policy,L4,perjanjian jual beli uap panas bumi,perjanjian jual beli uap panas bumi,1.55,normal
Economic and Pricing Policy,L4,pjbu,pjbu,1.0,normal
Economic and Pricing Policy,L4,commercial operation date,commercial operation date,1.35,normal
Economic and Pricing Policy,L4,cod,cod,1.0,normal
Economic and Pricing Policy,L4,busbar,busbar,1.0,normal
Economic and Pricing Policy,L4,excess power,excess power,1.0,normal
Economic and Pricing Policy,L4,kelebihan tenaga listrik,kelebihan tenaga listrik,1.35,normal
Economic and Pricing Policy,L4,harga fasilitas jaringan,harga fasilitas jaringan,1.35,normal
Economic and Pricing Policy,L4,fasilitas baterai,fasilitas baterai,1.0,normal
Economic and Pricing Policy,L4,fasilitas penyimpanan energi listrik,fasilitas penyimpanan energi listrik,1.35,normal
Economic and Pricing Policy,L4,blended finance,blended finance,1.0,normal
Economic and Pricing Policy,L4,penjaminan,penjaminan,1.0,normal
Economic and Pricing Policy,L4,derisking,derisking,1.0,normal
Economic and Pricing Policy,L4,penawaran harga,penawaran harga,1.0,normal
Economic and Pricing Policy,L4,harga dasar,harga dasar,1.0,normal
Economic and Pricing Policy,L4,eskalasi,eskalasi,1.0,normal
Economic and Pricing Policy,L4,tarif iuran,tarif iuran,1.0,normal
Economic and Pricing Policy,L4,iuran tetap,iuran tetap,1.0,normal
Economic and Pricing Policy,L4,iuran produksi,iuran produksi,1.0,normal
Governance and Institutional Responsibility,L5,pemerintah,pemerintah,0.2,weak_or_ambiguous
Governance and Institutional Responsibility,L5,pemerintah pusat,pemerintah pusat,1.0,normal
Governance and Institutional Responsibility,L5,pemerintah daerah,pemerintah daerah,1.0,normal
Governance and Institutional Responsibility,L5,menteri,menteri,0.2,weak_or_ambiguous
Governance and Institutional Responsibility,L5,kementerian,kementerian,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,gubernur,gubernur,1.0,normal
Governance and Institutional Responsibility,L5,bupati,bupati,1.0,normal
Governance and Institutional Responsibility,L5,walikota,walikota,1.0,normal
Governance and Institutional Responsibility,L5,dewan energi nasional,dewan energi nasional,2.35,strong
Governance and Institutional Responsibility,L5,den,den,1.0,normal
Governance and Institutional Responsibility,L5,sekretariat jenderal dewan energi nasional,sekretariat jenderal dewan energi nasional,1.55,normal
Governance and Institutional Responsibility,L5,rencana umum energi nasional,rencana umum energi nasional,2.35,strong
Governance and Institutional Responsibility,L5,ruen,ruen,2.0,strong
Governance and Institutional Responsibility,L5,rencana umum energi daerah,rencana umum energi daerah,2.35,strong
Governance and Institutional Responsibility,L5,rued,rued,2.0,strong
Governance and Institutional Responsibility,L5,rued-p,rued p,1.0,normal
Governance and Institutional Responsibility,L5,rued provinsi,rued provinsi,1.0,normal
Governance and Institutional Responsibility,L5,rued kabupaten,rued kabupaten,1.0,normal
Governance and Institutional Responsibility,L5,rencana umum energi,rencana umum energi,1.35,normal
Governance and Institutional Responsibility,L5,rukun,rukun,1.0,normal
Governance and Institutional Responsibility,L5,rukn,rukn,1.0,normal
Governance and Institutional Responsibility,L5,ruptl,ruptl,1.0,normal
Governance and Institutional Responsibility,L5,kebijakan energi nasional,kebijakan energi nasional,2.35,strong
Governance and Institutional Responsibility,L5,ken,ken,1.0,normal
Governance and Institutional Responsibility,L5,perencanaan energi,perencanaan energi,1.0,normal
Governance and Institutional Responsibility,L5,rencana energi,rencana energi,1.0,normal
Governance and Institutional Responsibility,L5,rencana strategis,rencana strategis,1.0,normal
Governance and Institutional Responsibility,L5,kebijakan nasional,kebijakan nasional,1.0,normal
Governance and Institutional Responsibility,L5,strategi nasional,strategi nasional,1.0,normal
Governance and Institutional Responsibility,L5,dokumen perencanaan,dokumen perencanaan,1.0,normal
Governance and Institutional Responsibility,L5,rencana pembangunan jangka menengah,rencana pembangunan jangka menengah,1.35,normal
Governance and Institutional Responsibility,L5,rpjmn,rpjmn,1.0,normal
Governance and Institutional Responsibility,L5,rencana pembangunan jangka panjang,rencana pembangunan jangka panjang,1.35,normal
Governance and Institutional Responsibility,L5,rpjpn,rpjpn,1.0,normal
Governance and Institutional Responsibility,L5,peraturan,peraturan,0.2,weak_or_ambiguous
Governance and Institutional Responsibility,L5,peraturan perundang-undangan,peraturan perundang undangan,1.35,normal
Governance and Institutional Responsibility,L5,regulasi,regulasi,1.0,normal
Governance and Institutional Responsibility,L5,ketentuan,ketentuan,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,ketentuan peraturan perundang-undangan,ketentuan peraturan perundang undangan,1.35,normal
Governance and Institutional Responsibility,L5,kewenangan,kewenangan,1.0,normal
Governance and Institutional Responsibility,L5,wewenang,wewenang,1.0,normal
Governance and Institutional Responsibility,L5,tugas dan fungsi,tugas dan fungsi,1.35,normal
Governance and Institutional Responsibility,L5,tanggung jawab,tanggung jawab,1.0,normal
Governance and Institutional Responsibility,L5,kewajiban pemerintah,kewajiban pemerintah,1.0,normal
Governance and Institutional Responsibility,L5,urusan pemerintahan,urusan pemerintahan,1.0,normal
Governance and Institutional Responsibility,L5,kewenangan daerah,kewenangan daerah,1.0,normal
Governance and Institutional Responsibility,L5,kelembagaan,kelembagaan,1.0,normal
Governance and Institutional Responsibility,L5,institusi,institusi,1.0,normal
Governance and Institutional Responsibility,L5,badan pengatur,badan pengatur,1.0,normal
Governance and Institutional Responsibility,L5,badan pelaksana,badan pelaksana,1.0,normal
Governance and Institutional Responsibility,L5,badan usaha,badan usaha,0.3,weak_or_ambiguous
Governance and Institutional Responsibility,L5,pengelola energi,pengelola energi,1.0,normal
Governance and Institutional Responsibility,L5,pengelolaan energi,pengelolaan energi,1.0,normal
Governance and Institutional Responsibility,L5,pengawasan,pengawasan,1.0,normal
Governance and Institutional Responsibility,L5,pembinaan,pembinaan,1.0,normal
Governance and Institutional Responsibility,L5,pengendalian,pengendalian,1.0,normal
Governance and Institutional Responsibility,L5,monitoring,monitoring,1.0,normal
Governance and Institutional Responsibility,L5,evaluasi,evaluasi,1.0,normal
Governance and Institutional Responsibility,L5,pemantauan,pemantauan,1.0,normal
Governance and Institutional Responsibility,L5,pelaporan,pelaporan,1.0,normal
Governance and Institutional Responsibility,L5,laporan,laporan,1.0,normal
Governance and Institutional Responsibility,L5,koordinasi,koordinasi,1.0,normal
Governance and Institutional Responsibility,L5,sinkronisasi,sinkronisasi,1.0,normal
Governance and Institutional Responsibility,L5,harmonisasi,harmonisasi,1.0,normal
Governance and Institutional Responsibility,L5,lintas sektor,lintas sektor,1.0,normal
Governance and Institutional Responsibility,L5,koordinasi lintas sektor,koordinasi lintas sektor,1.35,normal
Governance and Institutional Responsibility,L5,rapat koordinasi,rapat koordinasi,1.0,normal
Governance and Institutional Responsibility,L5,sidang paripurna,sidang paripurna,1.0,normal
Governance and Institutional Responsibility,L5,perizinan,perizinan,1.0,normal
Governance and Institutional Responsibility,L5,izin usaha,izin usaha,1.0,normal
Governance and Institutional Responsibility,L5,izin pemanfaatan,izin pemanfaatan,1.0,normal
Governance and Institutional Responsibility,L5,izin penyediaan,izin penyediaan,1.0,normal
Governance and Institutional Responsibility,L5,persetujuan,persetujuan,1.0,normal
Governance and Institutional Responsibility,L5,penetapan,penetapan,1.0,normal
Governance and Institutional Responsibility,L5,ditetapkan,ditetapkan,0.2,weak_or_ambiguous
Governance and Institutional Responsibility,L5,menetapkan,menetapkan,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,menyusun,menyusun,0.3,weak_or_ambiguous
Governance and Institutional Responsibility,L5,mengatur,mengatur,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,diatur,diatur,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,melaksanakan,melaksanakan,1.0,normal
Governance and Institutional Responsibility,L5,pelaksanaan,pelaksanaan,0.3,weak_or_ambiguous
Governance and Institutional Responsibility,L5,implementasi,implementasi,0.35,weak_or_ambiguous
Governance and Institutional Responsibility,L5,program nasional,program nasional,0.45,weak_or_ambiguous
Governance and Institutional Responsibility,L5,program pemerintah,program pemerintah,1.0,normal
Governance and Institutional Responsibility,L5,pedoman,pedoman,0.35,weak_or_ambiguous
Governance and Institutional Responsibility,L5,rujukan,rujukan,1.0,normal
Governance and Institutional Responsibility,L5,acuan,acuan,0.35,weak_or_ambiguous
Governance and Institutional Responsibility,L5,standar,standar,0.3,weak_or_ambiguous
Governance and Institutional Responsibility,L5,norma,norma,1.0,normal
Governance and Institutional Responsibility,L5,prosedur,prosedur,1.0,normal
Governance and Institutional Responsibility,L5,kriteria,kriteria,1.0,normal
Governance and Institutional Responsibility,L5,nspk,nspk,1.0,normal
Governance and Institutional Responsibility,L5,tata kelola,tata kelola,1.0,normal
Governance and Institutional Responsibility,L5,governance,governance,1.0,normal
Governance and Institutional Responsibility,L5,administrasi,administrasi,1.0,normal
Governance and Institutional Responsibility,L5,kebijakan,kebijakan,0.25,weak_or_ambiguous
Governance and Institutional Responsibility,L5,strategi,strategi,0.3,weak_or_ambiguous
Governance and Institutional Responsibility,L5,arah kebijakan,arah kebijakan,1.0,normal
Governance and Institutional Responsibility,L5,rencana aksi,rencana aksi,1.0,normal
Governance and Institutional Responsibility,L5,target nasional,target nasional,1.0,normal
Governance and Institutional Responsibility,L5,sasaran nasional,sasaran nasional,1.0,normal
Governance and Institutional Responsibility,L5,apbn,apbn,0.35,weak_or_ambiguous
Governance and Institutional Responsibility,L5,apbd,apbd,0.35,weak_or_ambiguous
Governance and Institutional Responsibility,L5,anggaran pendapatan dan belanja negara,anggaran pendapatan dan belanja negara,1.55,normal
Governance and Institutional Responsibility,L5,anggaran pendapatan dan belanja daerah,anggaran pendapatan dan belanja daerah,1.55,normal
Governance and Institutional Responsibility,L5,kerja sama,kerja sama,1.0,normal
Governance and Institutional Responsibility,L5,kemitraan,kemitraan,1.0,normal
Governance and Institutional Responsibility,L5,partisipasi masyarakat,partisipasi masyarakat,1.0,normal
Governance and Institutional Responsibility,L5,peran serta masyarakat,peran serta masyarakat,1.35,normal
Governance and Institutional Responsibility,L5,koordinasi pemerintah pusat dan daerah,koordinasi pemerintah pusat dan daerah,1.55,normal
Governance and Institutional Responsibility,L5,pembagian kewenangan,pembagian kewenangan,1.0,normal
Governance and Institutional Responsibility,L5,desentralisasi,desentralisasi,1.0,normal
Governance and Institutional Responsibility,L5,otonomi daerah,otonomi daerah,1.0,normal
Environmental Protection and Safety,L6,lingkungan hidup,lingkungan hidup,2.0,strong
Environmental Protection and Safety,L6,perlindungan lingkungan,perlindungan lingkungan,1.0,normal
Environmental Protection and Safety,L6,pengelolaan lingkungan,pengelolaan lingkungan,1.0,normal
Environmental Protection and Safety,L6,berwawasan lingkungan,berwawasan lingkungan,1.0,normal
Environmental Protection and Safety,L6,pelestarian fungsi lingkungan,pelestarian fungsi lingkungan,1.35,normal
Environmental Protection and Safety,L6,daya dukung lingkungan,daya dukung lingkungan,1.35,normal
Environmental Protection and Safety,L6,daya tampung lingkungan,daya tampung lingkungan,1.35,normal
Environmental Protection and Safety,L6,ramah lingkungan,ramah lingkungan,1.0,normal
Environmental Protection and Safety,L6,pembangunan ramah lingkungan,pembangunan ramah lingkungan,1.35,normal
Environmental Protection and Safety,L6,pencemaran,pencemaran,1.0,normal
Environmental Protection and Safety,L6,pencemaran lingkungan,pencemaran lingkungan,2.0,strong
Environmental Protection and Safety,L6,kerusakan lingkungan,kerusakan lingkungan,1.0,normal
Environmental Protection and Safety,L6,dampak lingkungan,dampak lingkungan,1.0,normal
Environmental Protection and Safety,L6,analisis mengenai dampak lingkungan,analisis mengenai dampak lingkungan,1.35,normal
Environmental Protection and Safety,L6,amdal,amdal,2.0,strong
Environmental Protection and Safety,L6,upaya pengelolaan lingkungan,upaya pengelolaan lingkungan,1.35,normal
Environmental Protection and Safety,L6,ukl,ukl,1.0,normal
Environmental Protection and Safety,L6,upaya pemantauan lingkungan,upaya pemantauan lingkungan,1.35,normal
Environmental Protection and Safety,L6,upl,upl,1.0,normal
Environmental Protection and Safety,L6,emisi,emisi,0.55,weak_or_ambiguous
Environmental Protection and Safety,L6,emisi karbon,emisi karbon,2.0,strong
Environmental Protection and Safety,L6,gas rumah kaca,gas rumah kaca,1.35,normal
Environmental Protection and Safety,L6,grk,grk,1.0,normal
Environmental Protection and Safety,L6,perubahan iklim,perubahan iklim,1.0,normal
Environmental Protection and Safety,L6,mitigasi perubahan iklim,mitigasi perubahan iklim,1.35,normal
Environmental Protection and Safety,L6,adaptasi perubahan iklim,adaptasi perubahan iklim,1.35,normal
Environmental Protection and Safety,L6,rendah emisi,rendah emisi,1.0,normal
Environmental Protection and Safety,L6,limbah,limbah,0.55,weak_or_ambiguous
Environmental Protection and Safety,L6,limbah energi,limbah energi,1.0,normal
Environmental Protection and Safety,L6,limbah b3,limbah b3,1.0,normal
Environmental Protection and Safety,L6,limbah radioaktif,limbah radioaktif,2.0,strong
Environmental Protection and Safety,L6,bahan berbahaya dan beracun,bahan berbahaya dan beracun,1.35,normal
Environmental Protection and Safety,L6,keselamatan,keselamatan,0.45,weak_or_ambiguous
Environmental Protection and Safety,L6,kesehatan,kesehatan,0.35,weak_or_ambiguous
Environmental Protection and Safety,L6,keselamatan kerja,keselamatan kerja,1.0,normal
Environmental Protection and Safety,L6,kesehatan kerja,kesehatan kerja,1.0,normal
Environmental Protection and Safety,L6,k3,k3,1.0,normal
Environmental Protection and Safety,L6,keselamatan dan kesehatan kerja,keselamatan dan kesehatan kerja,1.35,normal
Environmental Protection and Safety,L6,keselamatan instalasi,keselamatan instalasi,1.0,normal
Environmental Protection and Safety,L6,keselamatan ketenagalistrikan,keselamatan ketenagalistrikan,1.0,normal
Environmental Protection and Safety,L6,keselamatan energi,keselamatan energi,1.0,normal
Environmental Protection and Safety,L6,keselamatan nuklir,keselamatan nuklir,2.0,strong
Environmental Protection and Safety,L6,keamanan nuklir,keamanan nuklir,1.0,normal
Environmental Protection and Safety,L6,risiko kecelakaan,risiko kecelakaan,1.0,normal
Environmental Protection and Safety,L6,kecelakaan nuklir,kecelakaan nuklir,1.0,normal
Environmental Protection and Safety,L6,kecelakaan kerja,kecelakaan kerja,1.0,normal
Environmental Protection and Safety,L6,bahaya radiasi,bahaya radiasi,1.0,normal
Environmental Protection and Safety,L6,proteksi radiasi,proteksi radiasi,1.0,normal
Environmental Protection and Safety,L6,paparan radiasi,paparan radiasi,1.0,normal
Environmental Protection and Safety,L6,standar keselamatan,standar keselamatan,1.0,normal
Environmental Protection and Safety,L6,standar lingkungan,standar lingkungan,1.0,normal
Environmental Protection and Safety,L6,standar emisi,standar emisi,1.0,normal
Environmental Protection and Safety,L6,dampak sosial,dampak sosial,1.0,normal
Environmental Protection and Safety,L6,risiko sosial,risiko sosial,1.0,normal
Environmental Protection and Safety,L6,risiko lingkungan,risiko lingkungan,1.0,normal
Environmental Protection and Safety,L6,ganti rugi,ganti rugi,1.0,normal
Environmental Protection and Safety,L6,kompensasi,kompensasi,1.0,normal
Environmental Protection and Safety,L6,pemulihan dampak,pemulihan dampak,1.0,normal
Environmental Protection and Safety,L6,rehabilitasi lingkungan,rehabilitasi lingkungan,1.0,normal
Environmental Protection and Safety,L6,reklamasi,reklamasi,1.0,normal
Environmental Protection and Safety,L6,restorasi lingkungan,restorasi lingkungan,1.0,normal
Environmental Protection and Safety,L6,tanggung jawab lingkungan,tanggung jawab lingkungan,1.35,normal
Environmental Protection and Safety,L6,tanggung jawab sosial,tanggung jawab sosial,1.35,normal
Environmental Protection and Safety,L6,perlindungan masyarakat,perlindungan masyarakat,1.0,normal
Environmental Protection and Safety,L6,keselamatan masyarakat,keselamatan masyarakat,1.0,normal
Environmental Protection and Safety,L6,keamanan instalasi,keamanan instalasi,1.0,normal
Environmental Protection and Safety,L6,pengamanan instalasi,pengamanan instalasi,1.0,normal
Environmental Protection and Safety,L6,bencana,bencana,1.0,normal
Environmental Protection and Safety,L6,risiko bencana,risiko bencana,1.0,normal
Environmental Protection and Safety,L6,keadaan darurat,keadaan darurat,1.0,normal
Environmental Protection and Safety,L6,penanggulangan keadaan darurat,penanggulangan keadaan darurat,1.35,normal
Environmental Protection and Safety,L6,pengurangan risiko,pengurangan risiko,1.0,normal
Environmental Protection and Safety,L6,pengendalian pencemaran,pengendalian pencemaran,1.0,normal
Environmental Protection and Safety,L6,pencegahan pencemaran,pencegahan pencemaran,1.0,normal
Environmental Protection and Safety,L6,pengurangan emisi,pengurangan emisi,1.0,normal
Environmental Protection and Safety,L6,pengelolaan limbah,pengelolaan limbah,1.0,normal
Environmental Protection and Safety,L6,pengendalian dampak lingkungan,pengendalian dampak lingkungan,1.35,normal
